Straight Motion,,,,Right turn Motion,,,,Left turn Motion,,,
Right wheel,,Left Wheel,,Right wheel,,Left Wheel,,Right wheel,,Left Wheel,
x(cm),y(cm),x(cm),y(cm),x(cm),y(cm),x(cm),y(cm),x(cm),y(cm),x(cm),y(cm)
40.3,20.3,40.2,34.9,10.9,1.5,25.1,4.2,25,51.5,10.8,54.3
40.3,20.3,40.3,34.8,10.3,1.2,24.5,3.5,25,51.3,11.2,54.1
40.2,20.9,40,35.3,10.4,1.3,24.6,4,25.1,51.4,10.9,54
40.2,20.5,40,35,10.9,1.6,25.1,4.3,25,51.6,10.5,54.9
40.5,20.1,40.4,34.6,10.4,1.4,24.2,4,25.1,51.4,10.9,54
40.5,20,40.4,34.5,10,0.9,24.4,3.2,25.2,51.1,10.5,54.9
40.6,20.3,40.8,34.8,11,1.6,25.2,4.8,24.8,51.9,10.5,54.6
40.4,19.9,40.6,34.3,11.2,2,24.5,4.9,24,52.2,9.9,54.7
40.3,20.7,40.1,35.2,10.9,1.4,25,4,24.6,51.9,10.3,54.1
40.2,20.3,40.3,34.7,11,1.3,25.4,4.4,25.1,51.5,10.8,54
40.6,21.7,40,36.2,10.7,1.5,25,3.5,25.2,51.1,11,53.9
40.7,21.1,40.1,35.6,10.5,1.3,24.8,4,25,51.4,10.6,54.8
40.9,20.9,40.6,35.3,11,1.8,24.1,4.8,24.8,51.4,10.5,54.6
40.7,21,40.2,35.4,10.2,1,24.3,3.5,25.3,50.9,10.9,53.9
40.4,20.9,40.1,35.3,10.5,1.4,24.8,4.1,24.4,51.7,10.1,54.5
40.7,21.1,41,36,10.5,1.5,24.8,4,25.1,51.8,11,54.3
40.5,20.4,40.6,34.8,11.4,1.6,25.4,4.9,24.7,51.7,10.3,54.3
40.4,21,40.1,35.4,10.7,1.5,24.9,4,24.6,51.7,10.2,54.3
40.6,21.2,40.1,35.7,10.7,1.6,24.9,4.9,25,51.2,10.7,54.1
40.6,20.5,40.1,35.7,11,1.7,25.2,4.5,25,51,10.7,54
,,,,,,,,,,,
,,,,,,,,,,,
40.48,20.655,40.3,35.175,10.71,1.455,24.81,4.175,24.9,51.485,10.615,54.315
