# x_means, y_means, theta_means
-106.350000,-98.990000,-2.090000
-106.392600,-99.026400,-2.090400
-106.034800,-98.730800,-2.114400
-107.389800,-99.874000,-2.100200
-107.388800,-99.872000,-2.099800
-106.161400,-98.818400,-2.101800
-106.651400,-99.178000,-2.117200
-107.899400,-100.298400,-2.100200
-107.369600,-99.858000,-2.100400
-107.784000,-100.202400,-2.100000
-107.410000,-99.890000,-2.100000
-106.704200,-99.222600,-2.117400
-106.429000,-99.246200,-2.110000
-106.719000,-99.302600,-2.093000
-107.367600,-99.854000,-2.099600
-106.440400,-99.122000,-2.109600
-107.262600,-99.766000,-2.099000
-107.447600,-99.872000,-2.109600
-107.790400,-100.147400,-2.104600
-109.273400,-101.337000,-2.087800
-107.198000,-99.710000,-2.098000
-107.009000,-99.549400,-2.097000
-107.386600,-99.872200,-2.100400
-107.427000,-99.904200,-2.100000
-107.410000,-99.890000,-2.100000
-106.775600,-99.332000,-2.097600
-105.881200,-98.632800,-2.129400
-106.769800,-99.346200,-2.093800
-107.370800,-99.854600,-2.098600
-107.228200,-99.746000,-2.101800
-106.725800,-99.328400,-2.102600
-107.136000,-99.751000,-2.078800
-107.729000,-100.155000,-2.099000
-107.954000,-100.344400,-2.100000
-107.282800,-99.782000,-2.098800
-107.410000,-99.890000,-2.100000
-106.372400,-99.008000,-2.090400
-106.702400,-99.220400,-2.114600
-106.838000,-99.402000,-2.093000
-106.443200,-99.009600,-2.108800
