# x_means, y_means, theta_means
-76.183800,-83.721200,-1.599400
-77.845000,-85.268000,-1.596000
-77.120000,-84.510000,-1.590000
-77.020000,-84.540000,-1.560000
-76.926000,-84.636000,-1.612200
-75.136800,-82.773800,-1.549400
-75.551600,-83.423400,-1.569600
-78.600000,-86.070000,-1.580000
-76.948000,-84.415200,-1.723600
-76.292600,-83.834000,-1.590200
-76.800000,-84.280000,-1.550000
-75.587600,-83.347000,-1.569600
-75.470000,-83.350000,-1.570000
-76.949800,-84.609800,-1.671800
-76.926000,-84.395400,-1.642200
-76.941600,-84.467200,-1.680400
-77.015200,-84.718000,-1.876000
-77.020000,-84.540000,-1.560000
-76.866400,-84.340800,-1.954000
-76.992800,-84.681200,-1.571600
-76.923600,-84.392800,-1.619800
-77.020000,-84.540000,-1.560000
-76.920000,-84.390000,-1.620000
-77.911200,-85.444200,-1.575800
-77.030000,-84.500000,-1.620000
-76.549600,-84.078800,-1.590200
-76.970000,-84.540000,-1.570000
-77.020000,-84.540000,-1.560000
-76.957200,-84.529600,-1.568400
-76.970000,-84.540000,-1.570000
-77.130000,-84.650000,-1.590000
-77.031800,-84.499600,-1.619000
-77.000000,-84.680000,-1.610000
-77.020000,-84.680000,-1.560000
-77.020000,-84.510000,-1.600000
-77.020000,-84.540000,-1.560000
-76.970000,-84.540000,-1.570000
-76.696400,-84.152000,-1.600800
-76.816400,-84.255600,-1.603200
-76.919400,-84.389200,-1.613000
