# x_means, y_means, theta_means
-42.150000,-89.450000,-0.920000
-42.460000,-89.980000,-0.800000
-42.665800,-90.283800,-0.907800
-42.104400,-89.467800,-0.908000
-41.969600,-89.216400,-0.631800
-42.195000,-89.612000,-0.898800
-42.115200,-89.416400,-0.892000
-42.076600,-89.349200,-0.913000
-41.812800,-88.954000,-0.920000
-42.552800,-90.126000,-0.896800
-40.989200,-87.794800,-0.900000
-41.602800,-88.533600,-0.939200
-41.785800,-88.969200,-0.919800
-42.718200,-90.387800,-0.880200
-42.177600,-89.649000,-0.702000
-42.629800,-90.241000,-0.900000
-42.353200,-89.822800,-0.804400
-42.079400,-89.431600,-0.909400
-42.483000,-90.023000,-0.900200
-42.413200,-89.912800,-0.813200
0.000000,-0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,-0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,-649725436445382055644441913612162328303641329141809152.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,-3058460676684499968.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,7321328829198524851847110253451856187830619631004856319940243078219063100011435013951942954930143232.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,-0.000000,0.000000
0.000000,0.000000,0.000000
