# x_means, y_means, theta_means
-45.742000,-93.506000,-0.939000
-46.075200,-93.905000,-0.969200
-46.120000,-94.030000,-0.950000
-46.120000,-94.030000,-0.950000
-46.120000,-94.150000,-0.950000
-46.120000,-94.030000,-0.950000
-46.120000,-94.150000,-0.950000
-46.982200,-95.346400,-0.957600
-46.112000,-94.018800,-0.949800
-45.666600,-93.404200,-0.947400
-46.080000,-93.974000,-0.949000
-47.562200,-96.192000,-0.964800
-47.576000,-96.211800,-0.964000
-46.120000,-94.150000,-0.950000
-46.234600,-94.283000,-0.930400
-46.120000,-94.150000,-0.950000
-46.120000,-94.150000,-0.950000
-46.120000,-94.030000,-0.950000
-47.306400,-95.799600,-0.957400
-47.690000,-96.390000,-0.970000
-45.570000,-93.130000,-0.910000
-46.021800,-93.994400,-0.946200
-46.120000,-94.150000,-0.950000
-46.120000,-94.030000,-0.950000
-45.190000,-92.590000,-0.880000
-46.286400,-94.362800,-0.930400
-46.403200,-94.570000,-0.952400
-47.700000,-96.460000,-0.940000
-46.120000,-94.150000,-0.950000
-46.132000,-94.167600,-0.949800
-46.757200,-95.095000,-0.955400
-46.095400,-94.110000,-0.948800
-46.120000,-94.030000,-0.950000
-46.308800,-94.430000,-0.951600
-46.922400,-95.338800,-0.956600
-47.700000,-96.460000,-0.940000
-46.642800,-94.807600,-0.960400
-46.120000,-94.150000,-0.950000
-46.120000,-94.150000,-0.950000
-45.750000,-93.570000,-0.940000
