# x_means, y_means, theta_means
-108.387400,-101.331800,-2.116200
-107.514000,-100.761200,-2.045600
-108.512800,-101.602200,-2.068800
-106.778400,-100.128600,-2.055200
-106.846800,-100.175400,-2.058800
-107.999000,-101.165600,-2.067600
-106.450000,-99.850000,-2.060000
-107.450000,-100.710000,-2.040000
-109.958200,-102.817400,-2.051000
-109.796000,-102.678000,-2.054000
-109.323000,-102.292600,-2.054400
-108.745800,-101.803000,-2.050400
-109.158600,-102.081800,-2.132000
-107.604200,-100.864200,-2.081200
-108.808200,-101.844000,-2.102600
-108.520000,-101.530000,-2.070000
-107.589000,-100.802000,-2.188200
-108.118000,-101.259600,-2.044200
-107.673000,-100.893600,-2.043400
-108.451400,-101.551400,-2.070400
-107.728000,-100.932000,-2.042800
-106.450000,-99.850000,-2.060000
-106.450000,-99.850000,-2.060000
-109.919200,-102.784800,-2.051200
-107.450000,-100.710000,-2.040000
-107.235000,-100.608400,-2.041600
-108.520000,-101.530000,-2.070000
-108.641800,-101.636600,-2.084200
-108.178000,-101.316400,-2.043200
-107.805600,-101.006000,-2.042000
-107.956600,-101.126600,-2.065600
-106.293400,-99.708000,-2.137400
-108.532000,-101.618400,-2.069200
-107.771000,-100.971200,-2.042000
-108.269000,-101.393000,-2.056400
-108.520000,-101.530000,-2.070000
-107.491600,-100.743200,-2.040000
-108.520000,-101.530000,-2.070000
-108.520000,-101.530000,-2.070000
-106.094600,-99.587000,-2.072000
