# x_means, y_means, theta_means
-42.404800,-89.955600,-0.755800
-42.150000,-89.450000,-0.920000
-42.514000,-90.148000,-0.913000
-41.941200,-89.202800,-0.885200
-42.460000,-89.980000,-0.800000
-42.665800,-90.283800,-0.907800
-42.104400,-89.467800,-0.908000
-41.969600,-89.216400,-0.631800
-42.195000,-89.612000,-0.898800
-42.115200,-89.416400,-0.892000
-41.847600,-89.065200,-0.917800
-42.076600,-89.349200,-0.913000
-42.351800,-89.874200,-0.753000
-42.389600,-89.932800,-0.796000
-41.812800,-88.954000,-0.920000
-41.809600,-89.008000,-0.920000
-42.552800,-90.126000,-0.896800
-40.989200,-87.794800,-0.900000
-42.290000,-89.780000,-0.750000
-42.455200,-90.030800,-0.800400
-41.602800,-88.533600,-0.939200
-42.153000,-89.506400,-0.795000
-42.184400,-89.591800,-0.908800
-41.871800,-89.107600,-0.889400
-42.413600,-89.968400,-0.756000
-42.433400,-90.001400,-0.783200
-41.785800,-88.969200,-0.919800
-42.104000,-89.475400,-0.840800
-42.718200,-90.387800,-0.880200
-42.177600,-89.649000,-0.702000
-42.185600,-89.608800,-0.793600
-42.629800,-90.241000,-0.900000
-42.184800,-89.614400,-0.919000
-42.353200,-89.822800,-0.804400
-42.308800,-88.831600,-0.755600
-42.079400,-89.431600,-0.909400
-42.472000,-90.067200,-0.788800
-42.483000,-90.023000,-0.900200
-41.836200,-89.048000,-0.915200
-42.413200,-89.912800,-0.813200
