# x_means, y_means, theta_means
-109.273400,-101.337000,-2.087800
-106.443200,-99.009600,-2.108800
-106.775600,-99.332000,-2.097600
-106.719000,-99.302600,-2.093000
-106.704200,-99.222600,-2.117400
-106.702400,-99.220400,-2.114600
-107.784000,-100.202400,-2.100000
-107.790400,-100.147400,-2.104600
-106.372400,-99.008000,-2.090400
-107.447600,-99.872000,-2.109600
-107.410000,-99.890000,-2.100000
-107.136000,-99.751000,-2.078800
-107.367600,-99.854000,-2.099600
-106.440400,-99.122000,-2.109600
-106.392600,-99.026400,-2.090400
-106.838000,-99.402000,-2.093000
-106.034800,-98.730800,-2.114400
-106.651400,-99.178000,-2.117200
-107.899400,-100.298400,-2.100200
-106.350000,-98.990000,-2.090000
