# x_means, y_means, theta_means
-40.732000,-87.864800,-0.921600
-40.723200,-87.924400,-0.948400
-40.676600,-87.839600,-0.940400
-40.731600,-87.914400,-0.916400
-39.886000,-85.590200,-0.922800
-39.513400,-85.914200,-0.924200
-40.186400,-86.986800,-0.928000
-40.798200,-87.979400,-0.883400
-40.749600,-87.955600,-0.943800
-39.897400,-86.522000,-0.787000
-39.488800,-85.876200,-0.921000
-40.670000,-87.830000,-0.950000
-40.280800,-87.143000,-0.815200
-40.670000,-87.830000,-0.950000
-41.031200,-88.360000,-0.920800
-40.156600,-87.045400,-0.926400
-40.227800,-87.054800,-0.807000
-40.549200,-87.642800,-0.939400
-41.020000,-88.400000,-0.960000
-40.704000,-87.828600,-0.875600
-40.922400,-88.184600,-0.911000
-40.531600,-87.604600,-0.929600
-39.824400,-86.469400,-0.832600
-39.534400,-86.129600,-0.941800
-40.956800,-88.240000,-0.911200
-40.331800,-87.279600,-0.901600
-40.361200,-87.323200,-0.884200
-39.800000,-86.210000,-0.830000
-40.399000,-87.317200,-0.839800
-40.308400,-87.191800,-0.825200
-40.670000,-87.830000,-0.950000
-40.253000,-87.067800,-0.826800
-40.208400,-87.078400,-0.885000
-40.233800,-87.128000,-0.891800
-40.044200,-86.854800,-0.914000
-40.556800,-87.660600,-0.948600
-40.088800,-86.840000,-0.799200
-40.191600,-87.053200,-0.881600
-40.207200,-87.029000,-0.826600
-40.135400,-86.087000,-0.930200
