# x_means, y_means, theta_means
-107.450000,-100.710000,-2.040000
-108.520000,-101.530000,-2.070000
-108.520000,-101.530000,-2.070000
-108.520000,-101.530000,-2.070000
-109.323000,-102.292600,-2.054400
-106.450000,-99.850000,-2.060000
-106.094600,-99.587000,-2.072000
-107.491600,-100.743200,-2.040000
-107.450000,-100.710000,-2.040000
-108.520000,-101.530000,-2.070000
-106.293400,-99.708000,-2.137400
-109.158600,-102.081800,-2.132000
-108.520000,-101.530000,-2.070000
-107.235000,-100.608400,-2.041600
-106.450000,-99.850000,-2.060000
-108.808200,-101.844000,-2.102600
-108.387400,-101.331800,-2.116200
-107.514000,-100.761200,-2.045600
-107.589000,-100.802000,-2.188200
-106.450000,-99.850000,-2.060000
