# x_means, y_means, theta_means
-77.900000,-85.840000,-1.550000
-77.634200,-85.623200,-2.010600
-77.731200,-85.932400,-1.550800
-77.740000,-85.880000,-1.550000
-77.730000,-85.930000,-1.550000
-77.840000,-85.780000,-1.550000
-77.740000,-85.880000,-1.550000
-77.734800,-85.939600,-1.553200
-77.730000,-85.930000,-1.550000
-77.740000,-85.880000,-1.550000
-77.784000,-86.041600,-1.586800
-77.730000,-85.930000,-1.550000
-77.829000,-86.020600,-1.550000
-77.840000,-85.780000,-1.550000
-77.790000,-86.050000,-1.590000
-77.540000,-85.820000,-1.520000
-77.840000,-85.850000,-1.580000
-77.730000,-85.930000,-1.550000
-77.790000,-85.920000,-1.550000
-78.034400,-86.151600,-1.590000
-79.266800,-87.143600,-1.702000
-78.936000,-86.829600,-1.610800
-77.738400,-85.942000,-1.598000
-77.730000,-85.930000,-1.550000
-77.678800,-86.374400,-1.559400
-77.247200,-85.532000,-1.515600
-78.290400,-86.414800,-1.544400
-77.730000,-85.930000,-1.550000
-77.430000,-85.810000,-1.530000
-77.409200,-85.663200,-1.528400
-77.740000,-85.880000,-1.550000
-77.068800,-85.236200,-1.550200
-77.730000,-85.930000,-1.550000
-77.730000,-85.930000,-1.550000
-77.880800,-85.917200,-1.919600
-77.424200,-85.674000,-1.529600
-78.243200,-86.160000,-1.651200
-77.630000,-85.620000,-2.020000
-78.244400,-86.220000,-1.557200
-77.718800,-85.920800,-1.549200
