# x_means, y_means, theta_means
-46.120000,-94.030000,-0.950000
-47.690000,-96.390000,-0.970000
-46.120000,-94.030000,-0.950000
-46.112000,-94.018800,-0.949800
-46.120000,-94.030000,-0.950000
-45.666600,-93.404200,-0.947400
-46.120000,-94.030000,-0.950000
-47.576000,-96.211800,-0.964000
-45.570000,-93.130000,-0.910000
-45.190000,-92.590000,-0.880000
-46.120000,-94.030000,-0.950000
-47.306400,-95.799600,-0.957400
-46.286400,-94.362800,-0.930400
-46.080000,-93.974000,-0.949000
-46.234600,-94.283000,-0.930400
-46.642800,-94.807600,-0.960400
-47.562200,-96.192000,-0.964800
-46.120000,-94.030000,-0.950000
-45.742000,-93.506000,-0.939000
-46.075200,-93.905000,-0.969200
