# x_means, y_means, theta_means
-81.883600,-90.670400,-2.011400
-82.671800,-90.994200,-1.720200
-80.560400,-89.381400,-1.550000
-81.159200,-89.545200,-1.626800
-82.087800,-90.730200,-1.707800
-82.115800,-90.618800,-1.584400
-80.810000,-89.360000,-1.590000
-80.770000,-89.450000,-1.560000
-80.321800,-89.043400,-1.590800
-80.235200,-88.944600,-1.525800
-81.030000,-89.667200,-1.704000
-80.809000,-89.490400,-1.590200
-79.976000,-88.722000,-1.520000
-80.820000,-89.500000,-1.590000
-82.474800,-90.955600,-1.628800
-80.835200,-89.438000,-1.563200
-80.873600,-89.692800,-2.012000
-81.087800,-89.861200,-1.659000
-80.556600,-89.185600,-1.946000
-80.755800,-89.519600,-1.602400
-81.035000,-89.703800,-1.590800
-80.808000,-89.608400,-2.060400
-80.010000,-88.740000,-1.510000
-80.680000,-89.238000,-1.582000
-80.820000,-89.500000,-1.590000
-79.080400,-88.023600,-1.551200
-80.215600,-89.576800,-1.678400
-79.212000,-88.014000,-1.520000
-80.627000,-89.380800,-1.991200
-80.956000,-89.726800,-2.030800
-80.078800,-88.949200,-1.556400
-80.418000,-89.150400,-1.530800
-79.659400,-88.308600,-1.620600
-80.040000,-89.030000,-1.550000
-81.000000,-89.630000,-1.540000
-80.812000,-89.620400,-2.070400
-82.630800,-91.106800,-1.629600
-80.740000,-89.160000,-1.620000
-81.000000,-89.800400,-1.844400
-80.469000,-89.176000,-1.590000
